key,date,time_rd,lottery,draw,categoria,result,best_signal,best_a11,decision,hits_quiniela_topq,hits_quiniela_top12,pale_hits,source_rows_hist_used
2026-06-21|Anguilla|Anguila 1PM|2026-06-21 13:00,2026-06-21,2026-06-21 13:00,Anguilla,Anguila 1PM,NUCLEO,89-62-78,0.0220651675977313,3,✅ JUGAR — NÚCLEO,0,1,0,534.0
2026-06-21|La Nacional|Loteria Nacional- Gana Más|2026-06-21 14:30,2026-06-21,2026-06-21 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,41-58-89,0.013379298410199485,2,✅ JUGAR — NÚCLEO,0,0,0,1062.0
2026-06-21|Anguilla|Anguila 6PM|2026-06-21 18:00,2026-06-21,2026-06-21 18:00,Anguilla,Anguila 6PM,NUCLEO,99-43-92,0.027051590965230604,3,✅ JUGAR — NÚCLEO,1,1,0,1581.0
2026-06-21|La Nacional|Loteria Nacional- Noche|2026-06-21 18:00,2026-06-21,2026-06-21 18:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,44-00-10,0.017086450650166396,3,🔍 JUGAR — VIGILANCIA,0,1,0,1581.0
2026-06-21|Anguilla|Anguila 9PM|2026-06-21 21:00,2026-06-21,2026-06-21 21:00,Anguilla,Anguila 9PM,NUCLEO,22-79-64,0.018587071196055925,5,❌ NO JUGAR,0,0,0,2400.0
2026-06-22|La Primera|Quiniela La Primera|2026-06-22 12:00,2026-06-22,2026-06-22 12:00,La Primera,Quiniela La Primera,NUCLEO,16-52-51,0.048413881006662544,3,❌ NO JUGAR,0,0,0,2760.0
2026-06-22|Anguilla|Anguila 1PM|2026-06-22 13:00,2026-06-22,2026-06-22 13:00,Anguilla,Anguila 1PM,NUCLEO,08-07-87,0.0220651675977313,3,✅ JUGAR — NÚCLEO,0,0,0,534.0
2026-06-22|La Nacional|Loteria Nacional- Gana Más|2026-06-22 14:30,2026-06-22,2026-06-22 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,58-07-21,0.013364281984493164,2,✅ JUGAR — NÚCLEO,0,0,0,1062.0
2026-06-22|Anguilla|Anguila 6PM|2026-06-22 18:00,2026-06-22,2026-06-22 18:00,Anguilla,Anguila 6PM,NUCLEO,77-89-70,0.02425275985523125,3,✅ JUGAR — NÚCLEO,0,0,0,1584.0
2026-06-22|Anguilla|Anguila 9PM|2026-06-22 21:00,2026-06-22,2026-06-22 21:00,Anguilla,Anguila 9PM,NUCLEO,64-13-75,0.00735923609292709,4,❌ NO JUGAR,0,0,0,1667.0
2026-06-22|La Nacional|Loteria Nacional- Noche|2026-06-22 21:00,2026-06-22,2026-06-22 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,74-05-20,0.005860431292779892,3,🔍 JUGAR — VIGILANCIA,0,0,0,1667.0
2026-06-23|La Primera|Quiniela La Primera|2026-06-23 12:00,2026-06-23,2026-06-23 12:00,La Primera,Quiniela La Primera,NUCLEO,12-50-16,0.048413881006662544,6,❌ NO JUGAR,0,0,0,2754.0
2026-06-23|Anguilla|Anguila 1PM|2026-06-23 13:00,2026-06-23,2026-06-23 13:00,Anguilla,Anguila 1PM,NUCLEO,09-39-06,0.01931300301499423,2,✅ JUGAR — NÚCLEO,0,1,0,534.0
2026-06-23|La Nacional|Loteria Nacional- Gana Más|2026-06-23 14:30,2026-06-23,2026-06-23 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,07-23-59,0.013349085793499615,2,✅ JUGAR — NÚCLEO,1,1,0,1065.0
2026-06-23|Anguilla|Anguila 6PM|2026-06-23 18:00,2026-06-23,2026-06-23 18:00,Anguilla,Anguila 6PM,NUCLEO,56-78-05,0.024207571849865217,3,✅ JUGAR — NÚCLEO,0,0,0,1590.0
2026-06-23|Anguilla|Anguila 9PM|2026-06-23 21:00,2026-06-23,2026-06-23 21:00,Anguilla,Anguila 9PM,NUCLEO,18-50-56,0.005220824862684388,2,❌ NO JUGAR,1,2,0,1766.0
2026-06-23|La Nacional|Loteria Nacional- Noche|2026-06-23 21:00,2026-06-23,2026-06-23 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,35-00-63,0.004882357800008999,4,❌ NO JUGAR,0,0,0,1766.0
2026-06-24|La Primera|Quiniela La Primera|2026-06-24 12:00,2026-06-24,2026-06-24 12:00,La Primera,Quiniela La Primera,NUCLEO,50-51-07,0.048413881006662544,6,❌ NO JUGAR,0,1,0,2748.0
2026-06-24|Anguilla|Anguila 1PM|2026-06-24 13:00,2026-06-24,2026-06-24 13:00,Anguilla,Anguila 1PM,NUCLEO,92-88-29,0.022030467640041802,3,✅ JUGAR — NÚCLEO,0,0,0,534.0
2026-06-24|La Nacional|Loteria Nacional- Gana Más|2026-06-24 14:30,2026-06-24,2026-06-24 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,41-07-81,0.013349085793499615,2,✅ JUGAR — NÚCLEO,1,1,0,1065.0
2026-06-24|Anguilla|Anguila 6PM|2026-06-24 18:00,2026-06-24,2026-06-24 18:00,Anguilla,Anguila 6PM,NUCLEO,54-10-00,0.02535977264124353,3,✅ JUGAR — NÚCLEO,0,0,0,1590.0
2026-06-24|Anguilla|Anguila 9PM|2026-06-24 21:00,2026-06-24,2026-06-24 21:00,Anguilla,Anguila 9PM,NUCLEO,47-99-77,0.0026796454986947934,2,❌ NO JUGAR,0,0,0,1679.0
2026-06-24|La Nacional|Loteria Nacional- Noche|2026-06-24 21:00,2026-06-24,2026-06-24 21:00,La Nacional,Loteria Nacional- Noche,VIGILANCIA,47-46-28,0.0032573315577504886,3,❌ NO JUGAR,0,0,0,1679.0
2026-06-25|La Primera|Quiniela La Primera|2026-06-25 12:00,2026-06-25,2026-06-25 12:00,La Primera,Quiniela La Primera,NUCLEO,66-21-08,0.048413881006662544,6,❌ NO JUGAR,0,1,0,2742.0
2026-06-25|Anguilla|Anguila 1PM|2026-06-25 13:00,2026-06-25,2026-06-25 13:00,Anguilla,Anguila 1PM,NUCLEO,84-62-73,0.023611039138762734,3,✅ JUGAR — NÚCLEO,0,2,0,534.0
2026-06-25|La Nacional|Loteria Nacional- Gana Más|2026-06-25 14:30,2026-06-25,2026-06-25 14:30,La Nacional,Loteria Nacional- Gana Más,NUCLEO,14-38-85,0.015472584170338794,2,✅ JUGAR — NÚCLEO,0,0,0,1065.0
